label,message
ham,Hey how are you
ham,Are you coming to college today
ham,Please call me when you reach home
ham,Can you send me the notes
ham,What time is the class tomorrow
ham,Happy birthday have a great day
ham,I will meet you after college
ham,Please bring my book tomorrow
spam,Congratulations you won a free prize
spam,You have won a free lottery ticket
spam,Claim your free reward now
spam,URGENT! You have won 1000 dollars
spam,Click here to get your free gift
spam,Congratulations you are selected for a cash prize
spam,Win a free mobile phone now
spam,You have been chosen for a special reward
